Type,Period,Start,End,Strategy_Return,Market_Return,Strategy_Sharpe,Market_Sharpe,Strategy_MDD,Market_MDD,Avg_Exposure,Turnover
Predefined Stress,OOS AI / High-Rate Cycle,2024-04-26,2025-12-31,1.3804687540260978,1.43452615278899,1.643166303852371,1.1885332324444076,-0.11382848171396537,-0.2431846469252879,0.6815591260005477,6.308493433336132
Predefined Stress,Recent OOS Window,2025-04-21,2026-04-21,1.279056366734722,1.4895794139647702,1.7284815125508024,2.3777110680734266,-0.1236820912832998,-0.13205475914254988,0.9063839117441257,5.93497517802529
Worst Window,Worst Market 63D Window,2025-01-07,2025-04-08,0.9285732124149662,0.7685842017447871,-2.9569280032222536,-3.6197090140372814,-0.08313497738468974,-0.23874552041134306,0.12834675357312314,3.421361901630479
Worst Window,Worst Strategy 63D Window,2025-12-29,2026-03-30,0.8898237509028918,0.8813865481556733,-2.7962244642775658,-2.9047155563595664,-0.12069038291216405,-0.12837954995385192,0.9872789578209583,5.468266665382951
