Feature_Group,Num_Features,PR_AUC,Final_Return,Sharpe,MDD,Avg_Exposure,Turnover
Full Model,29,0.3265032044190095,1.3804853498560583,1.3347410802543216,-0.12368209128330024,0.7179352271724118,6.213409574635084
Liquidity Only,12,0.3484676990259864,1.3804853498560583,1.3347410802543216,-0.12368209128330024,0.7179352271724118,6.213409574635084
Macro Stress Only,15,0.3291148980247914,1.3782445950957296,1.328281214650916,-0.12368209128330031,0.7191947709190044,6.440764042054514
Trend Only,2,0.3369050065812593,1.3789629380592228,1.3303677089146744,-0.12368209128329934,0.7187529684685104,6.525124018783395
