Period,Start,End,Strategy_Return,Market_Return,Strategy_Sharpe,Market_Sharpe,Strategy_MDD,Market_MDD,Avg_Exposure,Turnover
OOS AI / High-Rate Cycle,2024-04-25,2025-12-31,1.1374157465540777,1.4253060523999934,1.020253031037178,1.1673456870404786,-0.07790398370691429,-0.24318464692528843,0.31979285046284234,1.9636363636363636
Recent OOS Window,2025-04-21,2026-04-20,0.9757876752741784,1.4984475028219462,-0.2782144411918686,2.4187926330690646,-0.05948077738688374,-0.13205475914254988,0.2533066118068827,2.00796812749004
Worst Market 63D Window,2025-01-07,2025-04-08,1.0,0.7685842017447871,,-3.6197090140372814,0.0,-0.23874552041134306,0.0,0.0
Worst Strategy 63D Window,2025-11-05,2026-02-05,0.956103568365419,0.9653919560359832,-1.1342926958283055,-0.7917651170459264,-0.05948077738688374,-0.06159343199530522,0.954119545443391,4.0
