Horizon,Threshold,Base_Rate,PR_AUC,Final_Return,Sharpe,MDD,Avg_Exposure,Turnover
10,-0.03,0.36823104693140796,0.404033801636027,1.2058118972305223,0.7992019386550386,-0.13910262721942207,0.7051493686436087,9.969194055482737
10,-0.05,0.13898916967509026,0.15560737886177478,1.2743049304453864,0.9386729582039702,-0.17869302600110326,0.8054203458268765,6.99941579465603
20,-0.05,0.2870036101083033,0.3265032044190095,1.3804853498560583,1.3347410802543216,-0.12368209128330024,0.7179352271724118,6.213409574635084
20,-0.07,0.18953068592057762,0.23596479098462278,1.3804824064618944,1.3347326853985961,-0.12368209128329956,0.7179378439873066,6.213481957240522
40,-0.05,0.5270758122743683,0.5185337376501471,1.0904001520916642,0.5200800610790514,-0.1236820912833003,0.37648113964264013,2.8804965749525744
40,-0.07,0.3935018050541516,0.48250598358938895,1.1720885827109155,0.8919447526412047,-0.12368209128329995,0.439684333604387,5.69128870285455
