EMA_Span,Lower_Threshold,Upper_Threshold,PR_AUC,Final_Return,Sharpe,MDD,Avg_Exposure,Turnover
3,0.4,0.6,0.3265032044190095,1.372298316617948,1.3081392127630969,-0.12368209128329925,0.7381965023597987,6.334150367164541
3,0.45,0.55,0.3265032044190095,1.3804853498560583,1.3347410802543216,-0.12368209128330024,0.7179352271724118,6.213409574635084
5,0.45,0.55,0.3265032044190095,1.3804853498560583,1.3347410802543216,-0.12368209128330024,0.7179352271724118,6.213409574635084
10,0.45,0.55,0.3265032044190095,1.3804853498560583,1.3347410802543216,-0.12368209128330024,0.7179352271724118,6.213409574635084
10,0.4,0.6,0.3265032044190095,1.3723869449768733,1.3084007945096243,-0.1236820912832998,0.7381949475146179,6.331477908503472
20,0.45,0.55,0.3265032044190095,1.3804853498560583,1.3347410802543216,-0.12368209128330024,0.7179352271724118,6.213409574635084
